Country,1960,1970,1980,1990,2000
UKR,68.29953659,70.23521951,68.81782927,70.13658537,67.8595122
UMC,47.80281177,61.61639856,65.62049049,68.66709351,71.23835339
URY,67.89587805,68.68580488,70.28629268,72.53953659,74.66009756
USA,69.77073171,70.80731707,73.65853659,75.21463415,76.63658537
UZB,58.88553659,62.77426829,65.27239024,66.68417073,66.94078049
VCT,57.72387805,64.84253659,67.37641463,70.07665854,70.58312195
VEN,59.52919512,64.99587805,68.21917073,71.10773171,72.44414634
VIR,63.73021951,67.74482927,71.42519512,74.788,76.6195122
VNM,59.06702439,59.73704878,67.43314634,70.51009756,73.63112195
VUT,46.4874878,52.47980488,58.54270732,63.19685366,67.555
PSE,,,,68.04773171,70.90746341
WLD,52.47934607,59.59935428,63.18701448,65.69713834,67.69357759
WSM,49.9695122,54.9695122,59.9695122,65.04041463,69.48731707
YEM,32.38565854,41.16190244,50.55953659,57.76419512,60.45785366
ZAF,49.03629268,52.85068293,56.97307317,62.12007317,55.83687805
COD,41.01804878,43.84492683,46.08843902,47.43878049,46.35573171
ZMB,45.10980488,49.02541463,51.14895122,43.82014634,41.78312195
ZWE,51.54246341,54.89858537,59.37760976,59.1337561,43.922
