Country,1960,1970,1980,1990,2000
LCA,,,133414812.5,397192585.6,780895356.6
LCN,81144813059,1.76076E+11,7.73074E+11,1.1673E+12,2.25211E+12
LDC,,,1.15503E+11,1.52394E+11,1.94095E+11
LIC,22012532646,40062934369,1.08691E+11,1.39194E+11,1.78896E+11
LIE,,90099360.77,534699256.8,1421508901,2483890594
LKA,1419629929,2296470588,4024621900,8032551173,16330810304
LMC,86820784732,1.61685E+11,6.14511E+11,8.66493E+11,1.24101E+12
LMY,2.77053E+11,5.062E+11,2.00336E+12,3.17244E+12,5.68303E+12
LSO,34579308.41,68738625.23,431561376.5,544583156.2,771261702.6
LTU,,,,10506695074,11434200000
LUX,703925705.9,1519040258,6272826045,13315901255,21303021927
LVA,,,,7447002857,7833068425
MAC,,,,2990180516,6101794939
MAF,,,,,
MAR,2037154689,3956328426,21079357821,28839382991,37020609825
MCO,,293073868,1378130996,2481316054,2647883820
MDA,,,,3592856080,1288420223
MDG,673081724.1,1111859570,4042139901,3081479800,3877673635
MDV,,,42463576.16,215089005.2,624337143.6
MEA,,39387154651,3.96836E+11,5.38047E+11,9.48161E+11
MEX,13056164925,35541711470,1.94357E+11,2.6271E+11,6.83648E+11
MHL,,,,78476000,110937729.4
MIC,2.58396E+11,4.71744E+11,1.90329E+12,3.03951E+12,5.50646E+12
MKD,,,,4471828622,3586883989
MLI,,359772315,1787338105,2421172497,2422482318
MLT,,250728829.1,1250199056,2547330284,3957418083
MMR,,,,,
MNA,,,,,4.36296E+11
MNE,,,,,984279596.4
MNG,,,,2560785663,1136896162
MNP,,,,,
MOZ,,,3526259828,2512109517,4310090791
MRT,92609243.69,209348256,709041462.2,1019600785,1081207678
MUS,,,1136544231,2653485952,4582562398
MWI,162960130.5,290520116.3,1237662106,1880784193,1743506287
MYS,2441020462,4276665286,24937045114,44023808215,93789473684
NAC,5.84478E+11,1.16385E+12,3.13655E+12,6.57321E+12,1.10277E+13
NAM,,,2434779478,2804357081,3908645560
NCL,,358815681.9,1182457143,2529310104,2682347064
NER,449526872.6,649916621.2,2508524716,2480673305,1798374533
NGA,4196174380,12545849083,64201788077,30757075595,46385996027
NIC,227223322.1,778569938.9,2144300006,1009455476,5107329007
NLD,12276734172,37530195897,1.91908E+11,3.13038E+11,4.13397E+11
NOC,,,,1.13908E+12,1.43978E+12
NOR,5163271598,12729703622,63714366699,1.17624E+11,1.68289E+11
NPL,508334416.8,865975308.6,1945916583,3627559252,5494252208
NZL,5485854792,,23039953677,45097711110,52011592676
OEC,1.04214E+12,2.32943E+12,8.47122E+12,1.82008E+13,2.61002E+13
OED,1.07138E+12,2.38598E+12,8.75024E+12,1.86468E+13,2.70976E+13
OMN,44234654.05,256319786.1,5981760089,11685045608,19507412381
OSS,,,11816454047,20461235339,28241951284
PAK,3707055834,10027088677,23689697676,40010425587,73952374970
PAN,415800032,1016300032,3810300000,5313200000,11620500000
PER,2503708501,7235141852,17655611231,25710059622,50936239281
PHL,6684685517,6687223656,32450398740,44311595230,81026294682
PLW,,,,76888000,159855700
PNG,230496033,645537126.2,2545983008,3219730365,3521348155
POL,,,,64712371654,1.71708E+11
PRI,1691900000,5034700000,14436100000,30603919000,61701810000
PRK,,,,,
PRT,3193200404,8109032775,32899759311,78721607509,1.18358E+11
PRY,,548758098.3,4094810488,5695201563,8195993231
PSS,,,1887691126,2377069917,3434142911
PYF,,254035999.2,1362151524,3181206305,3447543138
QAT,,301791311.8,7829094485,7360439208,17759889598
ROU,,,,38299106120,37305099928
RUS,,,,5.16814E+11,2.59708E+11
RWA,119000023.2,219900006.6,1254765643,2550185693,1734938190
SAS,47689556543,86653536487,2.3882E+11,4.10504E+11,6.22976E+11
SAU,,5014444260,1.64308E+11,1.16778E+11,1.88442E+11
SDN,1126364162,2100229759,7617256737,12408647780,12257299147
SEN,792824702.8,1024832778,3503282842,5716644525,4679604922
SGP,704457699.4,1919496147,12078880699,38899863911,95835970989
SLB,,,168715353.1,302515026.9,435101217.2
SLE,322009478.1,434410366.4,1100685875,649644826.8,635874002.2
SLV,,1132920013,3573959885,4800900000,13134100000
SMR,,,,,773907642.4
SOM,180460950.4,316147885.3,603592653.9,917044254,
SRB,,,,,6540247190
SSA,29723750500,64064989865,2.71541E+11,3.03108E+11,3.60197E+11
SSD,,,,,
SSF,29715668102,64103619059,2.71585E+11,3.03214E+11,3.61239E+11
SST,2901685278,5915373473,26892283632,40284127665,63959645100
STP,,,,,76709304.53
SUR,93850000,247150000,794900000,388300000,892164393.9
SVK,,,,12694544693,29110067256
SVN,,,,,20341391806
SWE,14842870293,37555366021,1.40089E+11,2.58154E+11,2.59802E+11
SWZ,35076158.48,112137757.2,542000513.6,1114703088,1524496383
SXM,,,,,
SYC,12012264.27,18432184.32,147358375.4,368584758.9,614879764.8
SYR,857704420.5,2140383710,13062421028,12308624284,19325894913
TCA,,,,,
TCD,313582729.4,469266799.5,1033002184,1738605481,1385058162
TGO,121128072.4,253976592.1,1136409054,1628427588,1294250280
THA,2760750921,7086538431,32353514502,85343189321,1.22725E+11
TJK,,,,2629395066,860550294.3
TKM,,,,3232066837,2904662605
TLS,,,,,368000000
TON,,,53260077.43,113563821.6,188623258.5
TTO,535673245.3,821850000,6235874752,5068070424,8154315702
TUN,,1439238095,8743054698,12290568182,21473188882
TUR,13995124517,17086956522,68789289566,1.50676E+11,2.66568E+11
TUV,,,,8824746.238,13741844.59
TZA,,,,4258742899,10185786171
UGA,423008385.7,1260084034,1244610000,4304398866,6193246837
UKR,,,,81456431292,31261527363
UMC,1.7333E+11,3.12161E+11,1.2915E+12,2.16805E+12,4.26591E+12
URY,1243993170,2137241935,10163020116,9298839655,22823255806
USA,5.433E+11,1.0759E+12,2.8625E+12,5.9796E+12,1.02848E+13
UZB,,,,13360607991,13760374488
VCT,13066633.83,18450000,60307406.34,198207403.9,396261363.4
VEN,8607600069,12993115056,67135122864,47027508385,1.17148E+11
VIR,24200000,219000000,727800000,1564700032,
VNM,,,,6471740486,33640085728
VUT,,,113423181.6,158397406.3,272014693.1
PSE,,,,,4316456403
WLD,1.36873E+12,2.95421E+12,1.11609E+13,2.25194E+13,3.32273E+13
WSM,,,,125766270.9,269019710.3
YEM,,,,5647251908,9636342275
ZAF,7363096178,17907041999,80546993195,1.12015E+11,1.36362E+11
COD,3359404132,4877684933,14394927493,9349764580,19088046306
ZMB,698739720.8,1788779285,3884530854,3288381797,3600631919
ZWE,1052990400,1884206300,6678868200,8783816700,6689957600
